Drug Name,Company,Active Ingredient,Indication,Dosage and Administration,Side Effects,Use in pregnancy,,
Calvimax Plus,,"Calcium, Vitamin D3, and Multiminerals",Supports bone health and addresses calcium and vitamin D deficiencies,1tablet daily or as directed by a physician,May include gastrointestinal discomfort or constipation,,Incepta,
Cardivit,,"Vitamin C, Vitamin D3, and Folic Acid​",Supports cardiovascular health and addresses vitamin deficiencies,1 tablet daily or as advised by a healthcare professional., Generally well-tolerated; consult a physician if any adverse effects occur,,Incepta,
Osteo-D 20000 IU,,Cholecalciferol (Vitamin D3) 20000 IU,Prevention and treatment of Vitamin D deficiency,1 capsule weekly or as directed by a physician,"May include nausea, vomiting, or hypercalcemia with excessive use",,Incepta,
Osteo-D 40000 IU,,Cholecalciferol (Vitamin D3) 40000 IU,Treatment of severe Vitamin D deficiency,1 capsule weekly or as advised by a healthcare professional,May include hypercalcemia or gastrointestinal discomfort,,Incepta,
Ostovit D 20000 IU,,Cholecalciferol (Vitamin D3) 20000 IU,Prevention and treatment of Vitamin D deficiency,1 capsule weekly or as directed by a physician,Generally well-tolerated; excessive intake may lead to hypercalcemia,,SK+F,
Vita-D3 20000 IU,,Cholecalciferol (Vitamin D3) 20000 IU,Prevention and treatment of Vitamin D deficiency,1 capsule weekly or as advised by a healthcare professional,May include hypercalcemia or gastrointestinal discomfort,,Renata,
Vita-D3 40000 IU,,Cholecalciferol (Vitamin D3) 40000 IU, Treatment of severe Vitamin D deficiency,1 capsule weekly or as directed by a physician,May include hypercalcemia or gastrointestinal discomfort,,Renata,
Neurobest,,"Combination of B vitamins including B1, B6, and B12",Supports nerve health and addresses B vitamin deficiencies,1 tablet daily or as advised by a healthcare professional,Generally safe; consult a physician if any adverse effects occur,,Renata,
Beconex,,Vitamin B complex,Addresses B vitamin deficiencies and supports overall health,1 capsule daily or as directed by a physician,Generally well-tolerated; consult a healthcare provider if any adverse effects occur,,Renata,
Becosules Gold,,Vitamin B complex and Vitamin C,Supports Vitamin B complex and Vitamin C,1 capsule daily or as directed by a physician,Generally well-tolerated; consult a healthcare provider if any adverse effects occur,,Renata,
Calciferol,,"Cholecalciferol (Vitamin D3) 200,000 IU/ml",Treatment of severe Vitamin D deficiency,As prescribed by a healthcare professional,May include hypercalcemia if overdosed,,Renata,
Cartilage Plus,,Glucosamine Sulfate 250 mg and Chondroitin 200 mg.,Supports joint health and addresses osteoarthritis symptoms,1 tablet daily or as advised by a healthcare professional,May include gastrointestinal discomfort or diarrhea,,Renata,
Cartilage Max,,Glucosamine Sulfate 750 mg and Diacerein 50 mg,Supports joint health and addresses osteoarthritis symptoms,1 tablet daily or as directed by a physician,May include gastrointestinal discomfort or diarrhea,,Renata,
CEE,,Vitamin C (Ascorbic acid) 1000 mg,"Supports immune function, aids wound healing, improves iron absorption, and works as a potent antioxidant",1 tablet (1000 mg) once daily,"Generally well-tolerated, but high doses can sometimes lead to gastrointestinal disturbances such as nausea, abdominal cramps, or diarrhea",,Renata,
Pantex,ACI ,Pantoprazole,"Gastric ulcers, GERD",40 mg once daily,"Nausea, diarrhea, headache",Use only if clearly needed,,
Othera,ACI ,Esomeprazole Magnesium,"GERD, erosive esophagitis",20–40 mg once daily,"Headache, abdominal pain",Use only if clearly needed,,
Paricel,ACI ,Rabeprazole Sodium,"Duodenal and gastric ulcers, GERD",20 mg once daily,"Headache, diarrhea",Use only if clearly needed,,
Esomep,ACI ,Esomeprazole,"GERD, erosive esophagitis",20–40 mg once daily,"Headache, nausea",Use only if clearly needed,,
Xeldrin,ACI ,Esomeprazole,Duodenal and gastric ulcers,40 mg once daily,"Dizziness, constipation",Use only if clearly needed,,
Acifix,ACI ,Rabeprazole Sodium,"Duodenal and gastric ulcers, GERD",20 mg once daily,"Headache, abdominal pain",Use only if clearly needed,,
Maxima,ACI ,Esomeprazole,"GERD, ulcers",40 mg once daily,"Headache, flatulence",Use only if clearly needed,,
Famomax,ACI ,Famotidine,"Gastric and duodenal ulcers, GERD",20 mg twice daily,"Constipation, dizziness",Use only if clearly needed,,
Paricel 10,ACI ,Rabeprazole Sodium,"GERD, ulcers",10 mg once daily,"Nausea, headache",Use only if clearly needed,,
Esoral,ACI ,Esomeprazole,"Heartburn, GERD",20 mg once daily,"Dry mouth, dizziness",Use only if clearly needed,,
Omep,ACI ,Omeprazole,"GERD, peptic ulcer, Zollinger-Ellison syndrome",20–40 mg once daily before meals,"Headache, diarrhea, nausea",Use only if clearly needed,,
Raben,ACI ,Rabeprazole Sodium,"Gastric ulcer, duodenal ulcer, GERD",20 mg once daily before breakfast,"Abdominal pain, constipation",Use only if potential benefit justifies potential risk,,
Pantosoft,ACI ,Pantoprazole Sodium,"Erosive esophagitis, GERD",40 mg once daily,"Nausea, flatulence, headache",Use only if clearly needed,,
Nexzol,ACI ,Esomeprazole,"Peptic ulcer disease, GERD",20–40 mg daily before meals,"Constipation, dry mouth",Use only if potential benefit justifies potential risk,,
Famonid,ACI ,Famotidine,"Duodenal ulcer, GERD",20 mg twice daily or 40 mg at bedtime,"Dizziness, fatigue",Use only if clearly needed,,
Ranopac,ACI ,Ranitidine,"Duodenal ulcers, gastric ulcers, reflux esophagitis",150 mg twice daily or 300 mg at bedtime,"Headache, diarrhea",Use only if clearly needed,,
Omep 40 IV,ACI ,Omeprazole (IV),"Zollinger-Ellison syndrome, stress ulcer prophylaxis",40 mg once daily,"Injection site reaction, headache",Use only if clearly needed,,
Panodin,ACI ,Pantoprazole Sodium,"Gastric ulcer, GERD, duodenal ulcer",40 mg once daily,"Nausea, vomiting, dizziness",Use only if potential benefit justifies potential risk,,
Rabuxol,ACI ,Rabeprazole Sodium,"Acid-related disorders, H. pylori eradication",20 mg once or twice daily,"Headache, gas, constipation",Use only if clearly needed,,
Omeflux,ACI ,Omeprazole,"GERD, acid reflux, gastric ulcer",20 mg daily before breakfast,"Abdominal pain, flatulence",Use only if clearly needed,,
Omezol,Square ,Omeprazole,"GERD, peptic ulcer, Zollinger-Ellison syndrome",20 mg once daily before meals,"Headache, nausea, dizziness",Use only if clearly needed,,
Rabeso,Square ,Rabeprazole Sodium,"GERD, gastric ulcers, duodenal ulcers",20 mg once daily in the morning,"Abdominal pain, flatulence",Use only if potential benefit justifies potential risk,,
Pantocid,Square ,Pantoprazole Sodium,"GERD, peptic ulcer disease, Helicobacter pylori eradication",40 mg once daily before meals,"Headache, diarrhea, nausea",Use only if clearly needed,,
Esomex,Square ,Esomeprazole,"Erosive esophagitis, GERD",20–40 mg once daily before meals,"Abdominal pain, constipation, dizziness",Use only if clearly needed,,
Famos,Square ,Famotidine,"GERD, gastric ulcers, Zollinger-Ellison syndrome",20 mg twice daily or 40 mg at bedtime,"Dizziness, fatigue, headache",Use only if clearly needed,,
Ranid,Square ,Ranitidine,"Peptic ulcer disease, reflux esophagitis, gastric ulcers",150 mg twice daily or 300 mg at bedtime,"Drowsiness, constipation, dizziness",Use only if clearly needed,,
Panthop,Square ,Pantoprazole Sodium,"GERD, ulcers, Helicobacter pylori eradication",40 mg once daily before meals,"Flatulence, headache, nausea",Use only if clearly needed,,
Rabel,Square ,Rabeprazole Sodium,"Duodenal ulcers, GERD, Zollinger-Ellison syndrome",20 mg once daily in the morning,"Diarrhea, headache, dizziness",Use only if clearly needed,,
Esovance,Square ,Esomeprazole,"GERD, gastric ulcers, erosive esophagitis",20–40 mg once daily,"Diarrhea, headache, nausea",Use only if clearly needed,,
Omecap,Square ,Omeprazole,"GERD, peptic ulcer, Zollinger-Ellison syndrome, stress ulcer prophylaxis",20 mg once daily before meals,"Abdominal pain, nausea, dizziness",Use only if clearly needed,,
Ulceran,Square ,Rabeprazole Sodium,"GERD, peptic ulcers, Helicobacter pylori eradication",20 mg once daily before breakfast,"Headache, diarrhea, abdominal pain",Use only if clearly needed,,
Panoram,Square ,Pantoprazole Sodium,"GERD, gastric ulcers, Helicobacter pylori eradication",40 mg once daily before meals,"Nausea, flatulence, diarrhea",Use only if clearly needed,,
Omegast,Square ,Omeprazole,"GERD, acid reflux, gastric ulcers, H. pylori eradication",20 mg once daily before meals,"Headache, dizziness, abdominal discomfort",Use only if clearly needed,,
Ranitop,Square ,Ranitidine,"Peptic ulcers, reflux esophagitis, Zollinger-Ellison syndrome",150 mg twice daily,"Constipation, nausea, abdominal pain",Use only if clearly needed,,
Esotrin,Square ,Esomeprazole,"GERD, ulcers, stress ulcer prophylaxis, erosive esophagitis",20–40 mg once daily before meals,"Nausea, abdominal pain, dizziness",Use only if clearly needed,,
Acidban,Square ,Esomeprazole,"GERD, acid reflux",20 mg once daily before a meal,"Headache, diarrhea, nausea",Use only if clearly needed,,
Acidnil,Square ,Omeprazole,"GERD, peptic ulcer disease",20–40 mg once daily,"Nausea, headache",Use only if potential benefit justifies potential risk,,
Squacid,Square ,Pantoprazole,"Erosive esophagitis, acid reflux",40 mg once daily,"Abdominal pain, dizziness",Use only if clearly needed,,
Refluxin,Square ,Rabeprazole,"GERD, Helicobacter pylori-associated gastric issues",20 mg once daily,"Headache, constipation",Use only if potential benefit justifies potential risk,,
Pepticlor,Square ,Lansoprazole,Peptic ulcer disease,30 mg once daily,"Nausea, diarrhea",Use only if clearly needed,,
Gastroban,Square ,Esomeprazole Magnesium,"Gastric ulcer, acid reflux",20–40 mg once daily,"Headache, nausea",Use only if potential benefit justifies potential risk,,
Acidure,Square ,Dexlansoprazole,Erosive esophagitis,60 mg once daily,"Diarrhea, abdominal pain",Use only if clearly needed,,
AcidClear,Square ,Omeprazole,Mild GERD and acid reflux,20 mg once daily,"Headache, nausea",Use only if clearly needed,,
Gastroflow,Square ,Pantoprazole,"GERD, peptic ulcer disease",40 mg once daily,"Diarrhea, headache",Use only if clearly needed,,
RefluxGuard,Square ,Rabeprazole Sodium,"Acid reflux, GERD",20 mg once daily,"Abdominal pain, constipation",Use only if clearly needed,,
Square-Omep,Square ,Omeprazole,"GERD, stomach pain relief",20 mg once daily,"Headache, nausea",Use only if potential benefit justifies potential risk,,
Square-Panto,Square ,Pantoprazole Sodium,"Gastric ulcer, GERD", 40 mg once daily,"Dizziness, abdominal pain",Use only if clearly needed,,
Square-Rabex,Square ,Rabeprazole,"Acid peptic disease, reflux esophagitis",20 mg once daily,"Headache, diarrhea",Use only if clearly needed,,
Square-Esomax,Square ,Esomeprazole,"GERD, peptic ulcer disease",20–40 mg once daily,"Headache, nausea, abdominal pain",Use only if potential benefit justifies potential risk,,
AcidShield,Square ,Lansoprazole,"GERD, duodenal ulcer",30 mg once daily,"Nausea, diarrhea, abdominal pain",Use only if clearly needed,,
Nexum 20,Beximco ,Esomeprazole,"GERD, erosive esophagitis",20 mg once daily before meals,"Headache, nausea, flatulence",Use only if clearly needed,,
Nexum 40,Beximco,Esomeprazole,"Severe GERD, Zollinger-Ellison syndrome",40 mg once daily,"Abdominal pain, diarrhea",Use only if clearly needed,,
Neotack,Beximco,Rabeprazole,"Duodenal ulcer, H. pylori eradication",20 mg once daily,"Headache, dry mouth",Use only if potential benefit justifies potential risk,,
Seclo 20,Beximco,Omeprazole,"GERD, gastric and duodenal ulcers",20 mg once daily,"Constipation, nausea, dizziness",Use only if clearly needed,,
Seclo IV 40,Beximco,Omeprazole (IV),"Zollinger-Ellison syndrome, stress ulcer prophylaxis",40 mg/day,"Injection site pain, headache",Use only if clearly needed,,
Pantobex 20,Beximco,Pantoprazole,"Acid reflux, peptic ulcers",20 mg once daily,"Headache, abdominal discomfort",Use only if clearly needed,,
Pantobex 40,Beximco,Pantoprazole,"Erosive esophagitis, GERD",40 mg once daily,"Diarrhea, nausea",Use only if clearly needed,,
Acical,Beximco,Calcium Carbonate + Magnesium Hydroxide,"Heartburn, acid indigestion",1–2 tablets as needed,"Constipation, belching",Considered safe; consult physician,,
Lanzoprazol 30,Beximco,Lansoprazole,"Peptic ulcer, GERD",30 mg once daily,"Headache, diarrhea, abdominal pain",Use only if clearly needed,,
Rabeprid,Beximco,Rabeprazole,"GERD, duodenal ulcer",20 mg once daily,"Headache, flatulence",Use only if potential benefit justifies potential risk,,
Seclo MUPS,Beximco,Omeprazole,"Reflux esophagitis, NSAID-associated ulcer",20–40 mg once daily,"Nausea, headache, rash",Use only if clearly needed,,
Neotack HP Kit,Beximco,Rabeprazole + Clarithromycin + Amoxicillin,H. pylori eradication therapy,As per standard triple therapy regimen,"Diarrhea, nausea, taste alteration",Use only if clearly needed,,
Refluxgard,Beximco,Sodium Alginate + Potassium Bicarbonate,"GERD, acid reflux",10–20 ml after meals and at bedtime,"Bloating, nausea",Considered safe; consult physician,,
Lansec,Beximco,Lansoprazole,"Gastric ulcer, duodenal ulcer",30 mg once daily,"Abdominal pain, diarrhea",Use only if clearly needed,,
Digecid,Beximco,Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,"Dyspepsia, heartburn",10–20 ml after meals or as needed,"Constipation, chalky taste",Considered safe; consult physician,,
Nexum IV,Incepta,Esomeprazole Sodium (IV),"GERD, erosive esophagitis, stress ulcer prophylaxis",IV; 20–40 mg once daily,"Injection site reactions, headache",Use only if clearly needed,,
